"PETRJ13,CALL,,A,72,ITM,-9.767,3.023,3.023,100,,3.000,,,,3.040,0,09:45:00,17,4.222,22,9.822,,,,10.000,0,0,0,0,,100,0,200,0,1,1"
"PETRV13,PUT,,E,72,OTM,-9.767,0,,,,,,,,,0,,,,,,,,0,0,0,,0,,,,,,,"
"PETRJ402,CALL,,A,342,ITM,-8.895,2.755,2.753,,,,,,,2.767,-11,13:45:28,14,80.906,8.940,13,105.189,00,5.160,9.971,3,-170,-6,526,10.000,50,0,1,2,3,8,1,2"
"PETRV402,PUT,,E,342,OTM,-8.895,0,,,,,2,,8,4,,0,,,,,,,,0,0,0,,0,,,,,,,"
"Opções PETR4 - CALLs e PUTs - lista, pesquisa e cotações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker          ,Tipo,F.M. ,Mod.,Strike    ,A/I/OTM,Dist. (%) do Strike,Teórico,VI,Qtd. Bid,Vol. Impl. Bid (%),Bid,Ask,Vol. Impl. Ask (%),Qtd. Ask,Último,Var. (%),Data/Hora,VE,Prêmio como % do strike,Prêmio como % da última cotação,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,Prob. ITM (%),IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRV193,PUT,,E,1.872,OTM,-3.952,0,,,,,1,,155,2,0,09:45:00,,11,6,,,,0,0,0,,0,,250,0,"40,7",0,5,2
PETRJ195,CALL,,A,1.897,ITM,-3.871,1.208,1.198,3,,1.158,1.224,1.629,3,1.265,0,09:45:00,-7,6.281,3.850,,,,10.000,0,-110,-9,0,10.000,50,100,"5,6","2,5",3,6
PETRV195,PUT,,E,1.897,OTM,-3.871,0,,,,,1,,155,2,0,09:45:00,,11,6,,,,0,0,0,,0,,60,0,0,250,3,5
PETRJ198,CALL,,E,1.922,ITM,-3.790,1.183,1.173,,,,,,,1.238,0,09:45:00,65,6.441,4.000,,,,10.000,0,-110,-9,0,,50,0,0,600,1,2
PETRV198,PUT,,E,1.922,OTM,-3.790,0,,,,,1,,120,1,0,09:45:00,,5,3,,,,0,0,0,,0,,133,0,16,0,4,3
PETRJ200,CALL,,A,1.947,ITM,-3.709,1.158,1.148,3,,1.081,1.175,1.570,3,1.181,,09:45:00,33,6.066,3.816,1,"2.362,00",,10.000,0,-120,-10,0,10.000,67,0,400,19,4,6
PETRV200,PUT,,E,1.947,OTM,-3.709,0,,,,,1,,85,1,0,09:45:00,,5,3,,,,0,0,0,,0,,167,0,"110,5",0,5,3
PETRJ203,CALL,,E,1.972,ITM,-3.628,1.134,1.123,3,,1.083,1.150,1.532,3,1.151,-295,13:19:21,-6,5.664,3.609,2,"105.892,00",,10.000,0,-120,-10,0,10.000,60,700,0,11,3,5
PETRV203,PUT,,E,1.972,OTM,-3.628,0,,,,,1,,135,1,0,09:45:00,,5,3,,,,0,0,0,,0,,100,0,"20,1",0,2,2
PETRJ205,CALL,,A,1.997,ITM,-3.548,1.109,1.098,3,,1.058,1.126,1.512,3,1.246,0,09:45:00,-5,5.471,3.530,,,,10.000,0,-120,-11,0,10.000,83,"1,2","14,3","6,4",5,6
PETRV205,PUT,,E,1.997,OTM,-3.548,0,,,,,1,,"178,8",1,0,09:45:00,,5,3,,,,0,0,0,,0,,333,0,"201,8",0,10,3
PETRJ208,CALL,,E,2.022,ITM,-3.467,1.084,1.073,3,,1.076,1.101,1.474,3,1.118,0,09:45:00,16,5.386,3.519,,,1.182,9.793,72,-307,-29,2.911,10.000,38,"9,6",0,"49,2",3,8
PETRV208,PUT,,E,2.022,OTM,-3.467,0,,,,,1,,160,1,0,09:45:00,,5,3,,,,0,0,0,,0,,100,0,100,0,1,1
PETRJ210,CALL,,A,2.047,ITM,-3.386,1.059,1.048,3,,1.009,1.076,1.437,3,1.074,"+0,09",11:04:25,-5,5.095,3.370,1,"16.110,00",,10.000,0,-120,-12,0,10.000,33,"1,4","29,8","22,5",2,6
PETRV210,PUT,,E,2.047,OTM,-3.386,0,,,,,1,916,155,1,0,09:45:00,,5,3,,,,0,0,0,,0,,200,0,200,0,2,1
PETRJ213,CALL,,E,2.072,ITM,-3.305,1.034,1.023,3,,984,1.052,1.417,3,1.063,0,09:45:00,-4,4.916,3.291,,,,10.000,0,-120,-12,0,10.000,43,"8,7",0,"137,5",3,7
PETRV213,PUT,,E,2.072,OTM,-3.305,0,,,,,1,,145,1,0,09:45:00,,5,3,,,,0,0,0,,0,,100,0,"220,2","14,9",3,3
PETRJ215,CALL,,A,2.097,ITM,-3.225,1.009,998,3,,959,1.027,1.380,3,1.057,0,09:45:00,-4,4.738,3.210,,,,10.000,0,-120,-12,0,10.000,33,"6,8",9,"40,6",2,6
PETRV215,PUT,,E,2.097,OTM,-3.225,0,,,,,1,,210,1,0,09:45:00,,5,3,,,,0,0,0,,0,,160,0,"326,2",2,8,5
PETRJ218,CALL,,E,2.122,ITM,-3.144,984,973,3,,934,1.002,1.344,3,1.058,0,09:45:00,-4,4.564,3.129,,,,10.000,0,-130,-13,0,10.000,38,500,"50,3","22,5",3,8
PETRV218,PUT,,E,2.122,OTM,-3.144,0,,,,,1,,182,1,0,09:45:00,,5,3,,,,0,0,0,,0,,140,0,"281,7","3,6",7,5
PETRJ220,CALL,,A,2.147,ITM,-3.063,959,948,3,,909,978,1.324,3,961,-293,14:13:54,-4,4.397,3.050,1,96.100,,10.000,0,-130,-13,0,10.000,80,0,"165,7","17,5",4,5
